Zeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gef�hlte Temperatur (°C);Regen (mm)
19.08.2018 23:00;84;31;53;Stellenweiser Regenfall;19;19;0
20.08.2018 00:00;137;69;68;Stellenweiser Regenfall;18;18;0
20.08.2018 01:00;143;74;69;Stellenweiser Regenfall;18;18;0
20.08.2018 02:00;10;5;5;Stellenweiser Regenfall;17;17;0
20.08.2018 03:00;11;4;7;Stellenweiser Regenfall;17;17;0
20.08.2018 04:00;5;2;3;Stellenweiser Regenfall;17;17;0
20.08.2018 05:00;35;19;16;Leicht bewoelkt;18;18;0
20.08.2018 06:00;127;88;39;Leicht bewoelkt;18;18;0
20.08.2018 07:00;298;154;144;Leicht bewoelkt;19;19;0
20.08.2018 08:00;419;230;189;Leicht bewoelkt;21;21;0
20.08.2018 09:00;442;258;184;Leicht bewoelkt;22;23;0
20.08.2018 10:00;406;220;186;Leicht bewoelkt;24;25;0
20.08.2018 11:00;506;242;264;Leicht bewoelkt;25;26;0
20.08.2018 12:00;464;245;219;Leicht bewoelkt;26;28;0
20.08.2018 13:00;506;249;257;Leicht bewoelkt;26;28;0
20.08.2018 14:00;494;239;255;Leicht bewoelkt;27;28;0
20.08.2018 15:00;597;267;330;Leicht bewoelkt;27;28;0
20.08.2018 16:00;613;299;314;Leicht bewoelkt;26;28;0
20.08.2018 17:00;804;394;410;Leicht bewoelkt;26;27;0
20.08.2018 18:00;708;309;399;Leicht bewoelkt;25;27;0
20.08.2018 19:00;608;272;336;Leicht bewoelkt;25;26;0
20.08.2018 20:00;481;213;268;Stellenweiser Regenfall;24;26;0
20.08.2018 21:00;303;126;177;Stellenweiser Regenfall;23;25;0
20.08.2018 22:00;190;75;115;Stellenweiser Regenfall;21;21;0
20.08.2018 23:00;139;45;94;Leicht bewoelkt;20;20;0
21.08.2018 00:00;82;25;57;Leicht bewoelkt;19;19;0
21.08.2018 01:00;50;15;35;Leicht bewoelkt;18;18;0
21.08.2018 02:00;16;5;11;Leicht bewoelkt;17;17;0
21.08.2018 03:00;6;4;2;Leicht bewoelkt;16;16;0
21.08.2018 04:00;11;6;5;Leicht bewoelkt;17;17;0
21.08.2018 05:00;47;24;23;Leicht bewoelkt;17;17;0
21.08.2018 06:00;149;104;45;Leicht bewoelkt;17;17;0
21.08.2018 07:00;322;160;162;Leicht bewoelkt;19;19;0
21.08.2018 08:00;518;292;226;Leicht bewoelkt;20;20;0
21.08.2018 09:00;495;268;227;Leicht bewoelkt;22;22;0
21.08.2018 10:00;530;286;244;Leicht bewoelkt;23;24;0
21.08.2018 11:00;543;254;289;Leicht bewoelkt;24;25;0
21.08.2018 12:00;515;272;243;Leicht bewoelkt;25;27;0
21.08.2018 13:00;524;223;301;Leicht bewoelkt;26;27;0
21.08.2018 14:00;593;282;311;Leicht bewoelkt;26;27;0
21.08.2018 15:00;591;268;323;Leicht bewoelkt;27;28;0
21.08.2018 16:00;699;330;369;Leicht bewoelkt;26;27;0
21.08.2018 17:00;840;420;420;Leicht bewoelkt;25;26;0
21.08.2018 18:00;795;363;432;Leicht bewoelkt;24;26;0
21.08.2018 19:00;642;278;364;Leicht bewoelkt;23;24;0
21.08.2018 20:00;468;213;255;Leicht bewoelkt;22;22;0
21.08.2018 21:00;352;156;196;Leicht bewoelkt;20;20;0
21.08.2018 22:00;272;88;184;Leicht bewoelkt;20;20;0
21.08.2018 23:00;132;51;81;Leicht bewoelkt;19;19;0
22.08.2018 00:00;83;21;62;Leicht bewoelkt;18;18;0
22.08.2018 01:00;31;11;20;Leicht bewoelkt;18;18;0
22.08.2018 02:00;27;12;15;Leicht bewoelkt;18;18;0
22.08.2018 03:00;7;3;4;Leicht bewoelkt;18;18;0
22.08.2018 04:00;7;5;2;Leicht bewoelkt;18;18;0
22.08.2018 05:00;54;26;28;Leicht bewoelkt;19;19;0
22.08.2018 06:00;134;77;57;Leicht bewoelkt;19;19;0
22.08.2018 07:00;315;183;132;Leicht bewoelkt;21;21;0
22.08.2018 08:00;442;256;186;Leicht bewoelkt;22;23;0
22.08.2018 09:00;490;289;201;Leicht bewoelkt;24;25;0
22.08.2018 10:00;527;271;256;Leicht bewoelkt;25;27;0
22.08.2018 11:00;479;229;250;Leicht bewoelkt;27;28;0
22.08.2018 12:00;530;237;293;Leicht bewoelkt;28;30;0
22.08.2018 13:00;487;211;276;Leicht bewoelkt;28;30;0
22.08.2018 14:00;518;249;269;Leicht bewoelkt;28;30;0
22.08.2018 15:00;570;280;290;Leicht bewoelkt;29;30;0
22.08.2018 16:00;674;341;333;Leicht bewoelkt;28;30;0
22.08.2018 17:00;772;372;400;Stellenweiser Regenfall;28;29;0
22.08.2018 18:00;728;328;400;Stellenweiser Regenfall;27;29;0
22.08.2018 19:00;614;296;318;Stellenweiser Regenfall;26;29;0
22.08.2018 20:00;507;235;272;Stellenweiser Regenfall;26;29;0
22.08.2018 21:00;328;130;198;Stellenweiser Regenfall;25;28;0
22.08.2018 22:00;260;87;173;Stellenweiser Regenfall;23;26;0
22.08.2018 23:00;184;62;122;Stellenweiser Regenfall;22;22;0
23.08.2018 00:00;90;33;57;Stellenweiser Regenfall;20;20;0
23.08.2018 01:00;63;23;40;Stellenweiser Regenfall;19;19;0
23.08.2018 02:00;26;9;17;Stellenweiser Regenfall;19;19;0
23.08.2018 03:00;12;4;8;Stellenweiser Regenfall;18;18;0
23.08.2018 04:00;24;14;10;Stellenweiser Regenfall;18;18;0
23.08.2018 05:00;51;26;25;Stellenweiser Regenfall;18;18;0
23.08.2018 06:00;124;76;48;Stellenweiser Regenfall;18;18;0
23.08.2018 07:00;301;166;135;Stellenweiser Regenfall;20;20;0
23.08.2018 08:00;441;234;207;Stellenweiser Regenfall;21;21;0
23.08.2018 09:00;428;265;163;Stellenweiser Regenfall;23;23;0
23.08.2018 10:00;435;222;213;Stellenweiser Regenfall;24;25;0
23.08.2018 11:00;508;263;245;Leicht bewoelkt;25;26;0
23.08.2018 12:00;498;246;252;Leicht bewoelkt;27;28;0
23.08.2018 13:00;520;254;266;Leicht bewoelkt;27;28;0
23.08.2018 14:00;515;250;265;Leicht bewoelkt;28;29;0
23.08.2018 15:00;590;255;335;Leicht bewoelkt;28;29;0
23.08.2018 16:00;474;199;275;Leicht bewoelkt;28;30;0
23.08.2018 17:00;422;188;234;Leicht bewoelkt;27;30;0
23.08.2018 18:00;480;214;266;Leicht bewoelkt;27;30;0
23.08.2018 19:00;380;185;195;Leicht bewoelkt;26;29;0
23.08.2018 20:00;292;135;157;Leicht bewoelkt;25;28;1
23.08.2018 21:00;244;89;155;Leicht bewoelkt;24;27;1
23.08.2018 22:00;174;68;106;Leicht bewoelkt;22;25;1
23.08.2018 23:00;125;45;80;Maessiger bis starker Regenschauer;21;21;1
24.08.2018 00:00;90;39;51;Maessiger bis starker Regenschauer;19;19;1
24.08.2018 01:00;28;14;14;Maessiger bis starker Regenschauer;18;18;1
24.08.2018 02:00;11;8;3;Maessiger bis starker Regenschauer;17;17;1
24.08.2018 03:00;9;6;3;Maessiger bis starker Regenschauer;17;17;0
24.08.2018 04:00;3;0;3;Maessiger bis starker Regenschauer;17;17;0
24.08.2018 05:00;33;16;17;Leicht bewoelkt;17;17;0
24.08.2018 06:00;93;59;34;Leicht bewoelkt;17;17;0
24.08.2018 07:00;216;124;92;Leicht bewoelkt;18;18;0
24.08.2018 08:00;255;155;100;Stellenweiser Regenfall;19;19;0
