,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region,Unnamed: 21,Unnamed: 22,lon_fix,lat_fix
180,47.691.107,9.137.144,"1,66515E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.13714,47.6911
181,47.705.833,9.043.935,"1,66515E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.04393,47.70583
182,4.766.882.935,91.743.754,"1,64821E+12",1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,PKW auf Fahrradbrücke,0,Konstanz,,,9.17437,47.66882
183,4.767.574.255,918.044.259,"1,64875E+12",1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.18044,47.67574
184,4.767.556.132,916.266.287,"1,6483E+12",1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16266,47.67556
185,4.767.295.365,917.117.547,"1,6483E+12",1,0,0,2,8,0,0,0,0,0,0,1,0,0,0,Schnell in 30er Zone,0,Konstanz,,,9.17117,47.67295
186,476.735.212,916.945.176,"1,6483E+12",1,0,0,2,5,1,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.16945,47.67352
187,4.767.941.023,916.346.442,"1,64821E+12",1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,PKW blockieren vor Kita,0,Konstanz,,,9.16346,47.67941
188,4.767.921.279,916.395.949,"1,64821E+12",1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,,0,Konstanz,,,9.16395,47.67921
189,477.386.494,87.793.074,"1,6506E+12",1,0,0,4,8,0,0,0,0,0,0,1,0,0,0,Auto parkt auf Radweg\n,0,Konstanz,,,8.7793,47.73864
190,4.766.165.294,917.053.707,"1,64881E+12",1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17053,47.66165
191,4.773.969.928,87.814.375,"1,65062E+12",1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,Schilder und parkende Autos auf Radweg\n,0,Konstanz,,,8.78143,47.73969
192,4.767.923.651,916.907.663,"1,6488E+12",1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,rückwärts ,0,Konstanz,,,9.16907,47.67923
193,476.769.123,917.680.474,"1,64942E+12",1,0,0,2,6,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1768,47.67691
